episode_id;episode_season;episode_original_air_date;episode_imdb_rating;episode_imdb_votes;episode_us_viewers_in_millions;episode_views
527;Whiskey Business;2013-05-05;6.8;371.0;4.43;42810.0
531;Homerland;2013-09-29;7.0;635.0;6.37;47531.0
534;YOLO;2013-11-10;6.7;489.0;4.2;44551.0
536;The Kid Is All Right;2013-11-24;6.5;468.0;6.78;39590.0
538;White Christmas Blues;2013-12-15;6.5;449.0;8.48;39290.0
541;Specs and the City;2014-01-26;7.2;431.0;3.87;44119.0
543;The Man Who Grew Too Much;2014-03-09;6.7;468.0;3.75;44512.0
545;The War of Art;2014-03-23;7.0;414.0;3.98;41726.0
547;Luca$;2014-04-06;6.5;415.0;4.3;45184.0
552;The Yellow Badge of Cowardge;2014-05-18;6.7;416.0;3.28;46408.0
554;The Wreck of the Relationship;2014-10-05;6.9;490.0;4.27;38411.0
557;Opposites A-Frack;2014-11-02;6.3;442.0;4.22;36410.0
559;Blazed and Confused;2014-11-16;6.9;456.0;6.7;43513.0
562;The Man Who Came to Be Dinner;2015-01-04;6.8;578.0;10.62;36622.0
564;The Musk Who Fell to Earth;2015-01-25;5.8;439.0;3.29;35848.0
9;Life on the Fast Lane;1990-03-18;7.5;1578.0;33.5;64776.0
11;The Crepes of Wrath;1990-04-15;7.8;1539.0;31.2;60458.0
13;Some Enchanted Evening;1990-05-13;7.9;1567.0;27.1;57590.0
15;Simpson and Delilah;1990-10-18;8.3;1588.0;29.9;58553.0
16;Treehouse of Horror;1990-10-25;8.2;1786.0;27.4;130282.0
18;Dancin' Homer;1990-11-08;7.5;1381.0;26.1;49005.0
20;Bart vs. Thanksgiving;1990-11-22;7.7;1324.0;25.9;47539.0
22;Itchy & Scratchy & Marge;1990-12-20;8.1;1402.0;22.2;55413.0
25;The Way We Was;1991-01-31;8.2;1392.0;26.8;51182.0
27;Principal Charming;1991-02-14;7.5;1241.0;23.9;46823.0
29;"Bart's Dog Gets an ""F""";1991-03-07;7.5;1264.0;23.9;47780.0
33;The War of the Simpsons;1991-05-02;7.9;1246.0;19.7;51997.0
1;Simpsons Roasting on an Open Fire;1989-12-17;8.2;3734.0;26.7;171408.0
2;Bart the Genius;1990-01-14;7.8;1973.0;24.5;91423.0
4;There's No Disgrace Like Home;1990-01-28;7.8;1701.0;20.2;67378.0
6;Moaning Lisa;1990-02-11;7.6;1674.0;27.4;55355.0
8;The Telltale Head;1990-02-25;7.7;1580.0;28.0;66311.0
34;Three Men and a Comic Book;1991-05-09;8.4;1379.0;21.0;50403.0
36;Stark Raving Dad;1991-09-19;8.6;1798.0;22.9;55238.0
38;When Flanders Failed;1991-10-03;8.2;1302.0;22.8;53499.0
40;Homer Defined;1991-10-17;8.5;1452.0;20.6;50601.0
78;The Front;1993-04-15;8.1;1122.0;20.1;53404.0
73;Brother from the Same Planet;1993-02-04;8.1;1176.0;23.8;59040.0
86;Treehouse of Horror IV;1993-10-28;8.7;1437.0;24.0;110251.0
71;Marge vs. the Monorail;1993-01-14;9.0;2028.0;23.0;88171.0
74;I Love Lisa;1993-02-11;8.3;1268.0;25.2;62309.0
90;The Last Temptation of Homer;1993-12-09;8.4;1308.0;20.6;59350.0
54;Dog of Death;1992-03-12;7.7;1165.0;23.4;49665.0
42;Treehouse of Horror II;1991-10-31;8.2;1369.0;20.0;103012.0
43;Lisa's Pony;1991-11-07;7.9;1243.0;23.0;53093.0
66;Marge Gets a Job;1992-11-05;7.8;1163.0;22.9;69527.0
47;I Married Marge;1991-12-26;8.2;1213.0;21.9;47880.0
76;Last Exit to Springfield;1993-03-11;9.0;1827.0;22.4;71907.0
49;Lisa the Greek;1992-01-23;8.0;1179.0;23.2;49457.0
57;The Otto Show;1992-04-23;7.7;1176.0;17.5;50068.0
85;Rosebud;1993-10-21;8.9;1479.0;19.5;57149.0
50;Homer Alone;1992-02-06;8.0;1176.0;23.7;58991.0
52;Homer at the Bat;1992-02-20;8.6;1637.0;24.6;72378.0
79;Whacking Day;1993-04-29;8.1;1234.0;20.0;60739.0
63;Lisa the Beauty Queen;1992-10-15;7.8;1194.0;19.0;52203.0
81;Krusty Gets Kancelled;1993-05-13;8.2;1269.0;19.4;59948.0
56;Black Widower;1992-04-09;8.2;1233.0;17.3;57582.0
61;A Streetcar Named Marge;1992-10-01;8.1;1339.0;18.3;54487.0
64;Treehouse of Horror III;1992-10-29;8.4;1394.0;25.1;108171.0
68;Mr. Plow;1992-11-19;8.8;1595.0;24.0;63564.0
94;Homer and Apu;1994-02-10;8.3;1171.0;21.8;58716.0
97;Homer Loves Flanders;1994-03-17;8.5;1191.0;18.0;69996.0
99;Burns' Heir;1994-04-14;8.4;1143.0;14.7;81678.0
137;Sideshow Bob's Last Gleaming;1995-11-26;8.0;1023.0;14.2;61246.0
113;Grampa vs. Sexual Inadequacy;1994-12-04;8.0;1060.0;14.1;64719.0
147;A Fish Called Selma;1996-03-24;8.2;1103.0;12.9;57830.0
117;Bart's Comet;1995-02-05;8.6;1221.0;18.7;67619.0
131;Home Sweet Homediddly-Dum-Doodily;1995-10-01;8.3;1088.0;14.5;70120.0
142;Scenes from the Class Struggle in Springfield;1996-02-04;7.7;962.0;14.4;58572.0
119;Bart vs. Australia;1995-02-19;8.5;1353.0;15.1;80724.0
135;King-Size Homer;1995-11-05;9.0;1633.0;17.0;81426.0
103;Secrets of a Successful Marriage;1994-05-19;8.0;1060.0;15.6;67959.0
105;Lisa's Rival;1994-09-11;8.1;1156.0;16.7;54225.0
121;A Star Is Burns;1995-03-05;8.5;1223.0;14.4;71936.0
122;Lisa's Wedding;1995-03-19;8.3;1190.0;14.4;74266.0
106;Another Simpsons Clip Show;1994-09-25;6.0;1051.0;13.5;42576.0
133;Lisa the Vegetarian;1995-10-15;8.5;1288.0;14.6;69245.0
124;The PTA Disbands;1995-04-16;8.1;1004.0;11.8;74788.0
108;Sideshow Bob Roberts;1994-10-09;8.3;1142.0;14.4;76932.0
110;Bart's Girlfriend;1994-11-06;8.0;1150.0;15.3;62450.0
129;Who Shot Mr. Burns? (Part Two);1995-09-17;8.9;1497.0;16.0;67579.0
126;The Springfield Connection;1995-05-07;8.2;1003.0;12.7;79777.0
145;Homer the Smithers;1996-02-25;8.9;1609.0;14.1;68354.0
112;Homer Badman;1994-11-27;9.0;1655.0;17.0;71577.0
115;Homer the Great;1995-01-08;8.9;1457.0;20.1;71002.0
138;The Simpsons 138th Episode Spectacular;1995-12-03;7.5;1038.0;16.4;56153.0
141;Two Bad Neighbors;1996-01-14;8.7;1264.0;16.5;64224.0
144;Lisa the Iconoclast;1996-02-18;8.1;1039.0;13.4;58795.0
136;Mother Simpson;1995-11-19;8.5;1226.0;15.3;61085.0
150;"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""";1996-04-28;8.3;1122.0;13.0;69120.0
152;Homerpalooza;1996-05-19;8.0;1095.0;12.9;60569.0
181;Lisa's Sax;1997-10-19;8.1;980.0;12.9;20008.0
166;Simpsoncalifragilisticexpiala(Annoyed Grunt)cious;1997-02-07;7.7;1088.0;17.7;57608.0
154;Treehouse of Horror VII;1996-10-27;8.3;1186.0;18.3;102077.0
169;Brother from Another Series;1997-02-23;8.2;1100.0;15.1;56659.0
156;The Homer They Fall;1996-11-10;8.0;1085.0;17.0;61146.0
158;Bart After Dark;1996-11-24;8.2;1098.0;14.1;60210.0
202;Lost Our Lisa;1998-05-10;7.7;880.0;7.6;55316.0
199;Girly Edition;1998-04-19;7.9;905.0;8.5;21811.0
187;Realty Bites;1997-12-07;7.5;888.0;10.6;25183.0
174;The Old Man and the Lisa;1997-04-20;7.9;967.0;14.0;56833.0
159;A Milhouse Divided;1996-12-01;8.0;1008.0;12.8;60956.0
170;My Sister, My Sitter;1997-03-02;8.1;1020.0;15.1;54247.0
193;The Last Temptation of Krust;1998-02-22;7.5;878.0;9.5;20298.0
183;The Cartridge Family;1997-11-02;8.2;1081.0;10.3;30921.0
172;Grade School Confidential;1997-04-06;8.2;995.0;13.3;60584.0
161;Hurricane Neddy;1996-12-29;8.8;1268.0;;66281.0
197;Simpson Tide;1998-03-29;8.3;1026.0;9.0;23127.0
177;The Simpsons Spin-Off Showcase;1997-05-11;7.3;1006.0;11.6;57926.0
179;The City of New York vs. Homer Simpson;1997-09-21;9.1;1918.0;10.5;62962.0
188;Miracle on Evergreen Terrace;1997-12-21;7.6;958.0;9.6;19899.0
201;King of the Hill;1998-05-03;8.3;962.0;9.2;60952.0
192;Das Bus;1998-02-15;8.1;1036.0;9.6;32487.0
204;Lard of the Dance;1998-08-23;7.6;932.0;7.0;56018.0
190;Bart Carny;1998-01-11;7.7;938.0;11.7;22426.0
195;Lisa the Simpson;1998-03-08;8.0;957.0;10.4;21608.0
146;The Day the Violence Died;1996-03-17;8.0;1016.0;14.4;57809.0
208;When You Dish Upon a Star;1998-11-08;7.3;934.0;9.0;43485.0
210;"Lisa Gets an ""A""";1998-11-22;8.0;909.0;8.0;50013.0
211;"Homer Simpson in: ""Kidney Trouble""";1998-12-06;7.3;863.0;7.2;50300.0
252;Lisa the Tree Hugger;2000-11-19;7.2;731.0;14.9;39480.0
215;Sunday, Cruddy Sunday;1999-01-31;6.9;880.0;11.5;50051.0
220;Maximum Homerdrive;1999-03-28;7.6;843.0;15.5;54195.0
232;Hello Gutter, Hello Fadder;1999-11-14;7.3;759.0;9.2;44615.0
221;Simpsons Bible Stories;1999-04-04;7.3;851.0;12.2;47155.0
260;Tennis the Menace;2001-02-11;6.9;730.0;14.0;51004.0
213;Viva Ned Flanders;1999-01-10;7.8;928.0;11.5;56561.0
230;Treehouse of Horror X;1999-10-31;7.7;876.0;8.7;47980.0
246;Last Tap Dance in Springfield;2000-05-07;7.2;716.0;7.3;47061.0
228;Brother's Little Helper;1999-10-03;7.5;776.0;7.1;44172.0
223;"The Old Man and the ""C"" Student";1999-04-25;7.3;779.0;6.9;47550.0
243;Bart to the Future;2000-03-19;7.0;780.0;8.77;75315.0
227;Beyond Blunderdome;1999-09-26;7.3;917.0;8.1;34394.0
225;They Saved Lisa's Brain;1999-05-09;7.3;804.0;6.8;47951.0
216;Homer to the Max;1999-02-07;7.7;882.0;8.3;55726.0
234;Take My Wife, Sleaze;1999-11-28;7.1;775.0;8.9;41484.0
236;Little Big Mom;2000-01-09;7.3;715.0;10.0;48194.0
237;Faith Off;2000-01-16;6.9;734.0;10.4;43869.0
259;Worst Episode Ever;2001-02-04;7.5;761.0;18.5;49893.0
239;Saddlesore Galactica;2000-02-06;6.6;822.0;9.6;41259.0
248;Behind the Laughter;2000-05-21;7.9;955.0;8.3;74046.0
255;The Great Money Caper;2000-12-10;7.3;766.0;16.8;49325.0
241;Missionary: Impossible;2000-02-20;7.3;777.0;9.8;50427.0
244;Days of Wine and D'oh'ses;2000-04-09;7.4;724.0;8.3;48786.0
148;Bart on the Road;1996-03-31;8.6;1110.0;11.8;70913.0
264;Bye, Bye, Nerdie;2001-03-11;6.5;691.0;16.1;45718.0
267;I'm Goin' to Praiseland;2001-05-06;7.3;721.0;13.1;49321.0
269;Simpsons Tall Tales;2001-05-20;7.0;688.0;13.4;56698.0
287;I Am Furious (Yellow);2002-04-28;7.7;704.0;12.4;69650.0
288;The Sweetest Apu;2002-05-05;6.9;598.0;11.8;47193.0
316;The President Wore Pearls;2003-11-16;7.0;631.0;12.7;37456.0
271;The Parent Rap;2001-11-11;7.1;674.0;14.9;47251.0
285;Weekend at Burnsie's;2002-04-07;7.7;765.0;12.5;54539.0
295;Large Marge;2002-11-24;7.1;704.0;17.4;55369.0
280;The Bart Wants What It Wants;2002-02-17;7.1;621.0;11.2;45176.0
305;Mr. Spritz Goes to Washington;2003-03-09;6.9;577.0;14.4;44837.0
273;A Hunka Hunka Burns in Love;2001-12-02;7.2;651.0;13.4;37376.0
293;How I Spent My Strummer Vacation;2002-11-10;7.3;713.0;12.5;35578.0
275;She of Little Faith;2001-12-16;7.1;692.0;13.2;45824.0
296;Helter Shelter;2002-12-01;6.8;633.0;15.1;42907.0
283;Tales from the Public Domain;2002-03-17;7.3;630.0;11.7;50301.0
300;The Strong Arms of the Ma;2003-02-02;6.9;644.0;15.4;51877.0
276;Brawl in the Family;2002-01-06;6.9;649.0;11.8;45684.0
278;Jaws Wired Shut;2002-01-27;7.3;642.0;14.2;49429.0
289;Little Girl in the Big Ten;2002-05-12;7.2;613.0;11.2;46466.0
310;Old Yeller-Belly;2003-05-04;6.8;574.0;11.59;43223.0
298;Special Edna;2003-01-05;7.1;593.0;15.0;40867.0
302;Barting Over;2003-02-16;6.6;650.0;21.3;47276.0
